id,value,display_value
01001,19.37,19.37
01002,15.61,15.61
01003,13.22,13.22
01004,15.56,15.56
01051,10.26,10.26
01053,17.66,17.66
01054,5.83,5.83
01055,13.33,13.33
01056,11.04,11.04
01057,9.28,9.28
01058,13.68,13.68
01059,8.35,8.35
01060,17.82,17.82
01061,10.18,10.18
01062,12.45,12.45
02000,6.71,6.71
03101,26.44,26.44
03102,4.44,4.44
03103,46.03,46.03
03151,29.96,29.96
03152,30.40,30.40
03153,8.47,8.47
03154,7.91,7.91
03155,10.60,10.60
03156,0.65,0.65
03157,17.04,17.04
03158,14.31,14.31
03241,22.38,22.38
03251,12.77,12.77
03252,10.17,10.17
03254,9.95,9.95
03255,5.48,5.48
03256,11.09,11.09
03257,7.81,7.81
03351,9.82,9.82
03352,10.38,10.38
03353,12.48,12.48
03354,12.64,12.64
03355,21.70,21.70
03356,11.02,11.02
03357,14.26,14.26
03358,9.85,9.85
03359,12.21,12.21
03360,10.99,10.99
03361,12.49,12.49
03401,16.49,16.49
03402,12.18,12.18
03403,12.26,12.26
03404,19.11,19.11
03405,7.54,7.54
03451,15.84,15.84
03452,18.06,18.06
03453,13.92,13.92
03454,14.22,14.22
03455,15.94,15.94
03456,12.44,12.44
03457,14.24,14.24
03458,15.73,15.73
03459,13.44,13.44
03460,32.03,32.03
03461,7.64,7.64
03462,13.50,13.50
04011,21.10,21.10
04012,10.94,10.94
05111,13.95,13.95
05112,9.29,9.29
05113,11.73,11.73
05114,12.58,12.58
05116,9.40,9.40
05117,11.45,11.45
05119,10.49,10.49
05120,5.19,5.19
05122,7.87,7.87
05124,9.24,9.24
05154,8.10,8.10
05158,6.79,6.79
05162,9.05,9.05
05166,7.27,7.27
05170,8.97,8.97
05314,11.63,11.63
05315,14.81,14.81
05316,12.25,12.25
05334,18.15,18.15
05358,12.00,12.00
05362,13.98,13.98
05366,8.56,8.56
05370,10.80,10.80
05374,8.62,8.62
05378,9.74,9.74
05382,11.37,11.37
05512,5.19,5.19
05513,10.89,10.89
05515,9.72,9.72
05554,9.79,9.79
05558,9.51,9.51
05562,8.16,8.16
05566,9.84,9.84
05570,10.85,10.85
05711,14.68,14.68
05754,16.83,16.83
05758,7.11,7.11
05762,11.38,11.38
05766,9.20,9.20
05770,12.60,12.60
05774,18.22,18.22
05911,11.89,11.89
05913,20.85,20.85
05914,6.56,6.56
05915,13.75,13.75
05916,9.29,9.29
05954,8.01,8.01
05958,9.70,9.70
05962,6.07,6.07
05966,11.08,11.08
05970,6.68,6.68
05974,9.91,9.91
05978,11.35,11.35
06411,9.98,9.98
06412,13.21,13.21
06413,21.80,21.80
06414,12.36,12.36
06431,12.24,12.24
06432,9.15,9.15
06433,14.23,14.23
06434,9.96,9.96
06435,12.72,12.72
06436,11.92,11.92
06437,8.70,8.70
06438,10.66,10.66
06439,13.91,13.91
06440,10.59,10.59
06531,20.19,20.19
06532,11.52,11.52
06533,12.79,12.79
06534,21.61,21.61
06535,8.10,8.10
06611,18.24,18.24
06631,18.46,18.46
06632,12.53,12.53
06633,16.20,16.20
06634,6.70,6.70
06635,12.23,12.23
06636,9.19,9.19
07111,21.51,21.51
07131,15.48,15.48
07132,7.04,7.04
07133,10.80,10.80
07134,3.53,3.53
07135,11.68,11.68
07137,13.70,13.70
07138,10.78,10.78
07140,14.34,14.34
07141,6.95,6.95
07143,15.71,15.71
07211,8.72,8.72
07231,10.45,10.45
07232,4.12,4.12
07233,11.51,11.51
07235,13.27,13.27
07311,12.35,12.35
07312,13.71,13.71
07313,24.25,24.25
07314,16.06,16.06
07315,12.56,12.56
07316,10.59,10.59
07317,6.92,6.92
07318,13.07,13.07
07319,18.17,18.17
07320,5.89,5.89
07331,13.89,13.89
07332,12.12,12.12
07333,10.16,10.16
07334,15.01,15.01
07335,5.34,5.34
07336,5.05,5.05
07337,12.25,12.25
07338,11.30,11.30
07339,16.74,16.74
07340,2.79,2.79
08111,18.46,18.46
08115,16.75,16.75
08116,14.22,14.22
08117,18.33,18.33
08118,18.57,18.57
08119,18.09,18.09
08121,25.99,25.99
08125,22.37,22.37
08126,19.88,19.88
08127,20.22,20.22
08128,19.02,19.02
08135,13.77,13.77
08136,19.89,19.89
08211,14.03,14.03
08212,10.59,10.59
08215,18.84,18.84
08216,16.33,16.33
08221,7.78,7.78
08222,15.00,15.00
08225,12.15,12.15
08226,13.61,13.61
08231,20.70,20.70
08235,12.16,12.16
08236,14.40,14.40
08237,10.63,10.63
08311,7.56,7.56
08315,21.41,21.41
08316,23.89,23.89
08317,18.11,18.11
