value,id,display_value
8.79,AT,8.79 %
35.69,BE,35.69 %
4.87,BG,4.87 %
6.30,HR,6.3 %
11.18,CY,11.18 %
5.33,CZ,5.33 %
39.55,DK,39.55 %
13.30,EE,13.3 %
11.11,FI,11.11 %
51.58,FR,51.58 %
6.53,DE,6.53 %
2.86,GR,2.86 %
1.71,HU,1.71 %
23.41,IS,23.41 %
19.17,IE,19.17 %
5.88,IT,5.88 %
8.50,LV,8.5 %
5.23,LT,5.23 %
33.33,LU,33.33 %
18.34,MT,18.34 %
16.53,NL,16.53 %
23.72,NO,23.72 %
3.42,PL,3.42 %
4.26,PT,4.26 %
2.93,RO,2.93 %
4.21,SK,4.21 %
3.49,SI,3.49 %
9.38,ES,9.38 %
28.65,SE,28.65 %
21.43717,GB,21.44 % (England only)
