id,name,rent_median,percent_change,value,2012,2013,2014,2015,2016
01001,Flensburg,6.58,19.4,21,5.51,5.645,5.825,6.055,6.5775
01002,Kiel,7.35,15.6,22,6.3575,6.6725,7.035,7.085,7.35
01003,Lübeck,7.37,13.2,22,6.5075,6.6675,6.8825,7.035,7.3675
01004,Neumünster,6.01,15.6,21,5.205,5.18,5.4825,5.5275,6.015
01051,Dithmarschen,5.62,10.3,21,5.095,5.0375,5.26,5.4825,5.6175
01053,Herzogtum Lauenburg,6.93,17.7,22,5.89,5.965,6.31,6.5675,6.93
01054,Nordfriesland,6.17,5.8,11,5.8325,6.0375,5.935,6.065,6.1725
01055,Ostholstein,6.93,13.3,22,6.115,6.1875,6.4925,6.645,6.93
01056,Pinneberg,8.35,11.0,22,7.52,7.6775,7.91,8.04,8.35
01057,Plön,6.42,9.3,11,5.87,5.9525,5.96,6.4075,6.415
01058,Rendsburg-Eckernförde,6.27,13.7,21,5.5175,5.61,5.815,6.0,6.2725
01059,Schleswig-Flensburg,5.78,8.3,11,5.33,5.47,5.5225,5.6475,5.775
01060,Segeberg,8.48,17.8,22,7.195,7.44,7.5775,8.0375,8.4775
01061,Steinburg,5.63,10.2,21,5.11,5.175,5.31,5.3675,5.63
01062,Stormarn,8.65,12.5,22,7.69,7.8575,8.015,8.385,8.6475
02000,Hamburg,10.65,6.7,13,9.985,10.35,10.355,10.3825,10.655
03101,Braunschweig,7.6,26.4,32,6.0125,6.4875,6.9975,7.2925,7.6025
03102,Salzgitter,5.06,4.4,11,4.8425,4.885,4.9225,5.0675,5.0575
03103,Wolfsburg,8.46,46.0,32,5.79,7.0175,7.7475,8.375,8.455
03151,Gifhorn,6.75,30.0,31,5.19,5.5375,6.3975,6.9125,6.745
03152,Göttingen,7.9,30.4,32,6.06,6.035,6.6625,7.53,7.9025
03153,Goslar,5.09,8.5,11,4.6925,4.8075,4.925,4.995,5.09
03154,Helmstedt,5.12,7.9,11,4.7425,4.7425,4.8125,4.9975,5.1175
03155,Northeim,4.98,10.6,21,4.505,4.5175,4.7,4.745,4.9825
03156,Osterode am Harz,4.63,0.7,11,4.605,4.55,4.4125,4.4825,4.635
03157,Peine,5.8,17.0,21,4.9575,5.2775,5.37,5.575,5.8025
03158,Wolfenbüttel,6.17,14.3,21,5.4,5.53,5.58,5.9075,6.1725
03241,Region Hannover,7.42,22.4,22,6.065,6.22,6.6175,7.06,7.4225
03251,Diepholz,6.23,12.8,21,5.5225,5.5675,5.6775,6.0325,6.2275
03252,Hameln-Pyrmont,5.09,10.2,21,4.62,4.745,4.79,4.8975,5.09
03254,Hildesheim,5.5,9.9,21,5.0,5.05,5.1625,5.22,5.4975
03255,Holzminden,4.38,5.5,11,4.15,4.105,4.1475,4.185,4.3775
03256,Nienburg (Weser),5.11,11.1,21,4.5975,4.59,4.785,5.0525,5.1075
03257,Schaumburg,5.14,7.8,11,4.7675,4.77,4.805,4.935,5.14
03351,Celle,5.76,9.8,11,5.245,5.3175,5.35,5.63,5.76
03352,Cuxhaven,5.58,10.4,21,5.0575,5.1025,5.24,5.365,5.5825
03353,Harburg,8.22,12.5,22,7.31,7.525,7.7675,7.965,8.2225
03354,Lüchow-Dannenberg,4.54,12.6,21,4.035,3.995,4.2625,4.45,4.545
03355,Lüneburg,8.04,21.7,22,6.6025,7.07,7.39,7.795,8.035
03356,Osterholz,5.89,11.0,21,5.3075,5.5575,5.865,5.9275,5.8925
03357,Rotenburg (Wümme),5.87,14.3,21,5.135,5.1925,5.44,5.5225,5.8675
03358,Heidekreis,5.38,9.8,21,4.9,4.9675,5.09,5.305,5.3825
03359,Stade,7.26,12.2,22,6.4675,6.635,6.76,6.9975,7.2575
03360,Uelzen,5.38,11.0,21,4.8475,5.0,5.035,5.2125,5.38
03361,Verden,6.55,12.5,21,5.8225,5.9425,6.0425,6.2725,6.55
03401,Delmenhorst,6.08,16.5,21,5.215,5.2975,5.655,5.725,6.075
03402,Emden,6.17,12.2,21,5.5025,5.735,5.9125,6.095,6.1725
03403,Oldenburg (Oldb),7.85,12.3,22,6.9925,7.1925,7.24,7.415,7.85
03404,Osnabrück,7.2,19.1,22,6.0425,6.35,6.695,6.9175,7.1975
03405,Wilhelmshaven,5.03,7.5,11,4.6775,4.66,4.68,4.84,5.03
03451,Ammerland,6.45,15.8,21,5.57,5.8125,5.98,6.145,6.4525
03452,Aurich,6.06,18.1,21,5.135,5.425,5.7425,5.8975,6.0625
03453,Cloppenburg,5.61,13.9,21,4.9225,4.9725,5.21,5.4575,5.6075
03454,Emsland,5.8,14.2,21,5.08,5.1975,5.38,5.5775,5.8025
03455,Friesland,5.73,15.9,21,4.94,5.0875,5.385,5.5125,5.7275
03456,Grafschaft Bentheim,5.97,12.4,21,5.3075,5.6075,5.6575,5.805,5.9675
03457,Leer,5.82,14.2,21,5.09,5.28,5.505,5.6875,5.815
03458,Oldenburg,6.22,15.7,21,5.3725,5.4825,5.7175,5.92,6.2175
03459,Osnabrück,5.68,13.4,21,5.005,5.065,5.2375,5.4,5.6775
03460,Vechta,6.75,32.0,31,5.1125,5.5075,5.935,6.0125,6.75
