name,change,rent_median,density,color,percent_change,2016pop,size
Flensburg,1937.386569872958,6.58,1514,21,19.4,85942,0.024415125889516314
Flensburg,1937.386569872958,6.58,1514,21,19.4,85942,0.024415125889516314
Kiel,1561.1482500983086,7.35,2075,22,15.6,246306,0.06997267921788189
Kiel,1561.1482500983086,7.35,2075,22,15.6,246306,0.06997267921788189
Lübeck,1321.5520553207828,7.37,1009,22,13.2,216253,0.061434970317022775
Neumünster,1556.1959654178668,6.01,1105,21,15.6,79197,0.022498949583114467
Dithmarschen,1025.5152109911678,5.62,93,21,10.3,132917,0.03776017881660701
Dithmarschen,1025.5152109911678,5.62,93,21,10.3,132917,0.03776017881660701
Dithmarschen,1025.5152109911678,5.62,93,21,10.3,132917,0.03776017881660701
Herzogtum Lauenburg,1765.7045840407472,6.93,152,22,17.7,192999,0.054828778496553016
Nordfriesland,582.9404200600098,6.17,78,11,5.8,163960,0.04657913524057032
Nordfriesland,582.9404200600098,6.17,78,11,5.8,163960,0.04657913524057032
Ostholstein,1332.78822567457,6.93,143,22,13.3,199574,0.05669665977373495
Ostholstein,1332.78822567457,6.93,143,22,13.3,199574,0.05669665977373495
Pinneberg,1103.7234042553193,8.35,462,22,11.0,307471,0.08734894664279945
Pinneberg,1103.7234042553193,8.35,462,22,11.0,307471,0.08734894664279945
Pinneberg,1103.7234042553193,8.35,462,22,11.0,307471,0.08734894664279945
Plön,928.4497444633729,6.42,118,11,9.3,128304,0.03644967899430431
Plön,928.4497444633729,6.42,118,11,9.3,128304,0.03644967899430431
Rendsburg-Eckernförde,1368.373357498867,6.27,123,21,13.7,270378,0.07681125535542159
Rendsburg-Eckernförde,1368.373357498867,6.27,123,21,13.7,270378,0.07681125535542159
Schleswig-Flensburg,834.8968105065671,5.78,95,11,8.3,196839,0.0559196779801087
Schleswig-Flensburg,834.8968105065671,5.78,95,11,8.3,196839,0.0559196779801087
Segeberg,1782.4878387769268,8.48,198,22,17.8,267503,0.0759945011847907
Steinburg,1017.6125244618387,5.63,124,21,10.2,131457,0.03734540974213011
Steinburg,1017.6125244618387,5.63,124,21,10.2,131457,0.03734540974213011
Stormarn,1245.123537061119,8.65,312,22,12.5,239614,0.06807155959706036
Hamburg,671.0065097646469,10.65,2366,13,6.7,1787408,0.5077818916935675
Hamburg,671.0065097646469,10.65,2366,13,6.7,1787408,0.5077818916935675
Braunschweig,2644.490644490644,7.6,1307,32,26.4,251364,0.07140959838137789
Salzgitter,443.98554465668536,5.06,451,11,4.4,101079,0.028715372108938812
Wolfsburg,4602.7633851468045,8.46,607,32,46.0,124045,0.0352397464681419
Gifhorn,2996.1464354527925,6.75,111,31,30.0,174205,0.04948962097208803
Göttingen,3040.4290429042912,7.9,228,32,30.4,255653,0.07262805355975559
Goslar,847.0964304741608,5.09,143,11,8.5,138236,0.039271245054375944
Helmstedt,790.7221929362152,5.12,135,11,7.9,91500,0.025994089256600298
Northeim,1059.9334073251944,4.98,106,21,10.6,134896,0.03832238977440824
Osterode am Harz,65.14657980455887,4.63,116,11,0.7,73885,0.02098987196419577
Peine,1704.488149268786,5.8,247,21,17.0,132320,0.03759057803752296
Wolfenbüttel,1430.5555555555554,6.17,167,21,14.3,120981,0.03436929958855476
Region Hannover,2238.2522671063475,7.42,499,22,22.4,1144481,0.3251337843331493
Diepholz,1276.595744680851,6.23,107,21,12.8,213976,0.060788101013883114
Hameln-Pyrmont,1017.3160173160167,5.09,186,21,10.2,148281,0.042124913104458456
Hildesheim,994.9999999999992,5.5,229,21,9.9,277055,0.07870811365013547
Holzminden,548.1927710843374,4.38,103,11,5.5,71659,0.020357491169822085
Nienburg (Weser),1109.2985318107662,5.11,86,21,11.1,120632,0.03427015273445035
Schaumburg,781.3319349764018,5.14,231,11,7.8,156206,0.044376313731327936
Celle,981.8875119161099,5.76,115,11,9.8,177971,0.05055949791351269
Cuxhaven,1038.0622837370233,5.58,96,21,10.4,198103,0.05627876572677911
Cuxhaven,1038.0622837370233,5.58,96,21,10.4,198103,0.05627876572677911
Harburg,1248.2900136798914,8.22,199,22,12.5,248122,0.07048858376531343
Lüchow-Dannenberg,1263.9405204460961,4.54,41,21,12.6,50128,0.0142407836749165
Lüneburg,2169.6327148807272,8.04,136,22,21.7,180719,0.05134017285643223
Osterholz,1102.213848327838,5.89,174,21,11.0,113579,0.03226647719863831
Rotenburg (Wümme),1426.4849074975655,5.87,78,21,14.3,163253,0.046378284736696924
Heidekreis,984.6938775510201,5.38,74,21,9.8,140264,0.039847376344128785
Stade,1221.4920757634327,7.26,158,22,12.2,200054,0.05683302220917941
Stade,1221.4920757634327,7.26,158,22,12.2,200054,0.05683302220917941
Uelzen,1098.504383702939,5.38,64,21,11.0,93131,0.026457437448704286
Verden,1249.4632889652212,6.55,170,21,12.5,134645,0.03825108358420707
Delmenhorst,1649.08916586769,6.08,1223,21,16.5,76323,0.02168247950089076
Emden,1217.628350749659,6.17,451,21,12.2,50694,0.014401577713378093
Emden,1217.628350749659,6.17,451,21,12.2,50694,0.014401577713378093
Oldenburg (Oldb),1226.3139077583126,7.85,1590,22,12.3,163830,0.04654220374763745
Osnabrück,1911.4604882085218,7.2,1355,22,19.1,162403,0.04613680959059736
Wilhelmshaven,753.6076964190273,5.03,710,11,7.5,75995,0.021589298503337045
Wilhelmshaven,753.6076964190273,5.03,710,11,7.5,75995,0.021589298503337045
Ammerland,1584.380610412925,6.45,166,21,15.8,121435,0.03449827572541265
Aurich,1806.231742940604,6.06,146,21,18.1,189199,0.053749242549284364
Aurich,1806.231742940604,6.06,146,21,18.1,189199,0.053749242549284364
Cloppenburg,1391.5693245302175,5.61,116,21,13.9,164734,0.04679901966772452
